Event_ID,Category,Sub_Category,Event_Name,Venue,City,Date,Time,Duration_Minutes,Description
1,Dance,Contemporary,Ritu Changlani - The Blue Hour,"Upasana Amphitheatre, Gujarat University",Ahmedabad,14-11-2025,19:15,N/A,A contemporary dance performance
2,Theater,Philosophical Show - Comedy / Fantasy/ Drama,Prarthana Kudtarkar- The Wine Intervention,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,14-11-2025,19:15,N/A,A philosophical show with comedy fantasy and drama
3,Music,Sufi Folk,Mohan Sagar - The Harmonium Band,"Manch GU, Gujarat University",Ahmedabad,14-11-2025,19:15,N/A,Sufi folk music by The Harmonium Band
4,Music,Sufi Fusion,Munaf Luhar -The Bulleshah Project,"Upasana Amphitheatre, Gujarat University",Ahmedabad,14-11-2025,21:30,N/A,A sufi fusion music project
5,Music,Classical fusion,Mousumi Datta - Aatman,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,14-11-2025,21:30,N/A,A classical fusion music performance
6,Dance,Contemporary,Kunaal Sangtani - Goonj,"Manch GU, Gujarat University",Ahmedabad,14-11-2025,21:30,N/A,A contemporary dance performance
7,Theater,Socio-Psychological Period Drama,Girish Solanki - Hargauri Shashtri,"Manch ATIRA, ATIRA",Ahmedabad,14-11-2025,19:15,N/A,A socio-psychological period drama
8,Music,Gujarati Folk,Shobhit Desai - Tarannum thi Naadbramha sudhi,"Manch ATIRA, ATIRA",Ahmedabad,14-11-2025,21:30,N/A,A performance of Gujarati folk music
9,Dance,Contemporary with elements of Jazz,Rayan Bhambhani - The Mole,"Shreerangam, Shreyas Foundation",Ahmedabad,14-11-2025,19:15,N/A,Contemporary dance with elements of Jazz
10,Theater,Drama + Music + Dance,Aalap Tripathi - Life of Lalu,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,14-11-2025,19:15,N/A,A performance combining drama music and dance
11,Music,Percussion,Dipesh Varma - Folk Yatra,"Shreerangam, Shreyas Foundation",Ahmedabad,14-11-2025,21:30,N/A,A percussion performance of folk music
12,Dance,Contemporary,Pritesh Mehta - The Box,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,14-11-2025,21:30,N/A,A contemporary dance piece
13,Music,DJ Dhol,Siddharth Bhayani - Beatroot,"Platform GU, Gujarat University",Ahmedabad,14-11-2025,20:30,N/A,A DJ Dhol music performance
14,Dance,Odissi,Junahi Rattan - Anga Raaga,"Platform ATIRA, ATIRA",Ahmedabad,14-11-2025,20:30,N/A,An Odissi dance performance
15,Theater,"Physical Satire, Folk-Fantasy, Absurd Comedy",Hemank Soni - Maaye ni meri akh lag gayi,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,14-11-2025,20:30,N/A,A physical satire and folk-fantasy absurd comedy
16,Theater,"Puppetry, Musical, Non-fictional",Kalpesh Samel - 4 feet ka Sapna,"Upasana Amphitheatre, Gujarat University",Ahmedabad,15-11-2025,19:15,N/A,A non-fictional puppetry musical
17,Dance,Contemporary Kathak,Shamik Chanda - The Rainbow Flower,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,15-11-2025,19:15,N/A,A contemporary Kathak dance
18,Theater,"Dark Humour, Social Satire, Digital Theatre & Psycho Drama",Dhrunad - Like Share & Subscribe!!,"Manch GU, Gujarat University",Ahmedabad,15-11-2025,19:15,N/A,A dark humour and social satire psycho drama
19,Music,Sufi Fusion,Munaf Luhar -The Bulleshah Project,"Upasana Amphitheatre, Gujarat University",Ahmedabad,15-11-2025,21:30,N/A,A sufi fusion music project
20,Theater,Philosophical Show - Comedy / Fantasy/ Drama,Prarthana Kudtarkar - The Wine Intervention,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,15-11-2025,21:30,N/A,A philosophical show with comedy fantasy and drama
21,Dance,Contemporary,Kunaal Sangtani - Goonj,"Manch GU, Gujarat University",Ahmedabad,15-11-2025,21:30,N/A,A contemporary dance performance
22,Dance,Contemporary Kathak,Ameera Patankar - Q?-urban-l!,"Manch ATIRA, ATIRA",Ahmedabad,15-11-2025,19:15,N/A,A contemporary Kathak dance
23,Music,Street Theatre,INGA - Therukoothu,"Manch ATIRA, ATIRA",Ahmedabad,15-11-2025,21:30,N/A,A street theatre music performance
24,Theater,"Experimental Theatre, Musical, Storytelling, Cultural Preservation",Hafeez Khan - Teekaram - The last folk star!,"Shreerangam, Shreyas Foundation",Ahmedabad,15-11-2025,19:15,N/A,An experimental musical storytelling theatre piece
25,Music,Classical Fusion,Atri Kotal - Survana,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,15-11-2025,19:15,N/A,A classical fusion music performance
26,Music,Percussion,Dipesh Varma - Folk Yatra,"Shreerangam, Shreyas Foundation",Ahmedabad,15-11-2025,21:30,N/A,A percussion performance of folk music
27,Dance,Contemporary,Pritesh Mehta - The Box,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,15-11-2025,21:30,N/A,A contemporary dance piece
28,Music,Rajasthani Folk,JKM Band Folk - The Bhapang Project,"Platform GU, Gujarat University",Ahmedabad,15-11-2025,20:30,N/A,A Rajasthani folk music performance
29,Dance,Odissi,Junahi Rattan - Anga Raaga,"Platform ATIRA, ATIRA",Ahmedabad,15-11-2025,20:30,N/A,An Odissi dance performance
30,Theater,"Physical Satire, Folk-Fantasy, Absurd Comedy",Hemank Soni - Maaye ni meri akh lag gayi,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,15-11-2025,20:30,N/A,A physical satire and folk-fantasy absurd comedy
31,Theater,"Puppetry, Musical, Non-fictional",Kalpesh Samel - 4 feet ka Sapna,"Upasana Amphitheatre, Gujarat University",Ahmedabad,16-11-2025,19:15,N/A,A non-fictional puppetry musical
32,Music,Music,Mousumi Datta - Aatman,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,16-11-2025,19:15,N/A,A music performance
33,Theater,Drama,Dhrumit Chauhan - Shakespeare Maharo Jamai,"Manch GU, Gujarat University",Ahmedabad,16-11-2025,19:15,N/A,A drama theatre performance
34,Dance,Contemporary,Ritu Changlani - The Blue Hour,"Upasana Amphitheatre, Gujarat University",Ahmedabad,16-11-2025,21:30,N/A,A contemporary dance performance
35,Theater,Philosophical Show - Comedy / Fantasy/ Drama,Prarthana Kudtarkar - The Wine Intervention,"Shyama Prasad Mukherjee Auditorium, Gujarat University",Ahmedabad,16-11-2025,21:30,N/A,A philosophical show with comedy fantasy and drama
36,Dance,Contemporary,Kunaal Sangtani - Goonj,"Manch GU, Gujarat University",Ahmedabad,16-11-2025,21:30,N/A,A contemporary dance performance
37,Music,Street Theatre,INGA - Therukoothu,"Manch ATIRA, ATIRA",Ahmedabad,16-11-2025,19:15,N/A,A street theatre music performance
38,Dance,Contemporary Kathak,Ameera Patankar - Q?-urban-l!,"Manch ATIRA, ATIRA",Ahmedabad,16-11-2025,21:30,N/A,A contemporary Kathak dance
39,Theater,"Experimental Theatre, Musical, Storytelling, Cultural Preservation",Hafeez Khan - Teekaram - The last folk star!,"Shreerangam, Shreyas Foundation",Ahmedabad,16-11-2025,19:15,N/A,An experimental musical storytelling theatre piece
40,Dance,Contemporary with elements of Jazz,Rayan Bhambhani - The Mole,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,16-11-2025,19:15,N/A,Contemporary dance with elements of Jazz
41,Music,Percussion,Dipesh Varma - Folk Yatra,"Shreerangam, Shreyas Foundation",Ahmedabad,16-11-2025,21:30,N/A,A percussion performance of folk music
42,Dance,Contemporary,Pritesh Mehta - The Box,"Bajrang Maidan, Shreyas Foundation",Ahmedabad,16-11-2025,21:30,N/A,A contemporary dance piece
